ID;work_year;experience_level;employment_type;job_title;salary;salary_currency;salary_in_usd;remote_ratio
1;2023;SE;FT;Principal Data Scientist;80000;EUR;85847;100
2;2023;MI;CT;ML Engineer;30000;USD;30000;100
3;2023;MI;CT;ML Engineer;25500;USD;25500;100
4;2023;SE;FT;Data Scientist;175000;USD;175000;100
5;2023;SE;FT;Data Scientist;120000;USD;120000;100
6;2023;SE;FT;Applied Scientist;222200;USD;222200;0
7;2023;SE;FT;Applied Scientist;136000;USD;136000;0
8;2023;SE;FT;Data Scientist;219000;USD;219000;0
9;2023;SE;FT;Data Scientist;141000;USD;141000;0
10;2023;SE;FT;Data Scientist;147100;USD;147100;0
11;2023;SE;FT;Data Scientist;90700;USD;90700;0
12;2023;SE;FT;Data Analyst;130000;USD;130000;100
13;2023;SE;FT;Data Analyst;100000;USD;100000;100
14;2023;EN;FT;Applied Scientist;213660;USD;213660;0
15;2023;EN;FT;Applied Scientist;130760;USD;130760;0
16;2023;SE;FT;Data Modeler;147100;USD;147100;0
17;2023;SE;FT;Data Modeler;90700;USD;90700;0
18;2023;SE;FT;Data Scientist;170000;USD;170000;0
19;2023;SE;FT;Data Scientist;150000;USD;150000;0
20;2023;MI;FT;Data Analyst;150000;USD;150000;100
21;2023;MI;FT;Data Analyst;110000;USD;110000;100
22;2023;SE;FT;Research Engineer;275000;USD;275000;0
23;2023;SE;FT;Research Engineer;174000;USD;174000;0
24;2023;SE;FT;Analytics Engineer;230000;USD;230000;100
25;2023;SE;FT;Analytics Engineer;143200;USD;143200;100
26;2023;SE;FT;Business Intelligence Engineer;225000;USD;225000;0
27;2023;SE;FT;Business Intelligence Engineer;156400;USD;156400;0
28;2023;SE;FT;Machine Learning Engineer;200000;USD;200000;0
29;2023;SE;FT;Machine Learning Engineer;130000;USD;130000;0
30;2023;SE;FT;Data Strategist;90000;USD;90000;0
31;2023;SE;FT;Data Strategist;72000;USD;72000;0
32;2023;SE;FT;Data Engineer;253200;USD;253200;0
33;2023;SE;FT;Data Engineer;90700;USD;90700;0
34;2023;SE;FT;Computer Vision Engineer;342810;USD;342810;0
35;2023;SE;FT;Computer Vision Engineer;184590;USD;184590;0
36;2023;MI;FT;Data Engineer;162500;USD;162500;0
37;2023;MI;FT;Data Engineer;130000;USD;130000;0
38;2023;MI;FT;Data Analyst;105380;USD;105380;0
39;2023;MI;FT;Data Analyst;64500;USD;64500;0
40;2023;EN;FT;Data Quality Analyst;100000;USD;100000;100
41;2023;EN;FT;Compliance Data Analyst;30000;USD;30000;100
